185;História Militar;Especialização;PÓS-GRADUAÇÃO E MBA;PGL;Ciências da Educação, Humanidades e Artes
190;Inteligência de Segurança;Especialização;PÓS-GRADUAÇÃO E MBA;PGL;Ciências Sociais, Direito, Negócios e Serviços
240;Polícia Comunitária;Especialização;PÓS-GRADUAÇÃO E MBA;PGL;Ciências Sociais, Direito, Negócios e Serviços
263;Segurança Privada;Especialização;PÓS-GRADUAÇÃO E MBA;PGL;Ciências Sociais, Direito, Negócios e Serviços
283;Gestão de Empresas de Alimentação;Especialização;PÓS-GRADUAÇÃO E MBA;PGL;Ciências Sociais, Direito, Negócios e Serviços
284;Gestão de Empresas de Turismo;Especialização;PÓS-GRADUAÇÃO E MBA;PGL;Ciências Sociais, Direito, Negócios e Serviços
298;Direito Ambiental;Especialização;PÓS-GRADUAÇÃO E MBA;PGL;Ciências Sociais, Direito, Negócios e Serviços
363;Direito do Trabalho e Processo do Trabalho;Especialização;PÓS-GRADUAÇÃO E MBA;PGL;Ciências Sociais, Direito, Negócios e Serviços
364;Direito Previdenciário;Especialização;PÓS-GRADUAÇÃO E MBA;PGL;Ciências Sociais, Direito, Negócios e Serviços
541;Gestão de vendas e técnicas éticas de negociação UV;Extensão;CURSOS/ATIVIDADES DE CURTA DURAÇÃO;EXT;Ciências Sociais, Direito, Negócios e Serviços
596;Curso Superior de Tecnologia em Comunicação Institucional;Tecnólogo;GRADUAÇÃO;GRAD;Ciências Sociais, Direito, Negócios e Serviços
597;Curso Superior de Tecnologia em Gestão Comercial;Tecnólogo;GRADUAÇÃO;GRAD;Ciências Sociais, Direito, Negócios e Serviços
599;Informática (Licenciatura);Licenciatura;GRADUAÇÃO;GRAD;Ciências da Produção, Construção e Agroindústria
600;Matemática (Bacharel);Bacharelado;GRADUAÇÃO;GRAD;Ciências da Produção, Construção e Agroindústria
601;Curso Superior de Tecnologia em Gestão de Recursos Humanos;Tecnólogo;GRADUAÇÃO;GRAD;Ciências Sociais, Direito, Negócios e Serviços
